Job_Title,Location,Locality,State,Work_Mode,Job_Category,Salary,Salary_Type,Monthly_Salary_INR
Robotics / STEM Trainer,"Indore, Madhya Pradesh",Indore,Madhya Pradesh,On-site,IT and Technology,"1,80,000 - 3,60,000 a year",Annual,270000.0
HTML Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Java Developers - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
"Teachers - Pre-Primary and Primary (English, Mathematics, EVS and Computers)","Pulivendla, Andhra Pradesh",Pulivendla,Andhra Pradesh,On-site,Education and Training,"20,000 - 30,000 a month",Monthly,25000.0
College Student,Remote,Remote,Remote,Remote,Other,"15,000 - 20,000 a month",Monthly,17500.0
Software Testers - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Web Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Computer Operator and Data Entry - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Back Office Assistant,Remote,Remote,Remote,Remote,Other,"14,678 - 22,689 a month",Monthly,18683.5
Customer Service Officer,Remote,Remote,Remote,Remote,Customer Service,"From 12,800 a month",Monthly,19250.0
Recruiter,Remote,Remote,Remote,Remote,HR and Recruitment,"12,000 - 25,000 a month",Monthly,18500.0
Sales Advisor_ Work From Home,Remote,Remote,Remote,Remote,Sales and Marketing,"10,000 - 25,000 a month",Monthly,17500.0
Junior Python Developer,"Kochi, Kerala",Kochi,Kerala,On-site,IT and Technology,"35,000 - 55,000 a month",Monthly,45000.0
Customer Support - Trainee,Remote,Remote,Remote,Remote,IT and Technology,"3,00,000 - 6,00,000 a year",Annual,450000.0
Fresher KYC Verification Executive,"Indraprastha H.O, Delhi, Delhi",Indraprastha H.O,Delhi,On-site,Other,"17,000 - 23,000 a month",Monthly,20000.0
Trainee,"Powai, Mumbai, Maharashtra",Powai,Maharashtra,On-site,IT and Technology,"4,00,000 - 6,00,000 a year",Annual,500000.0
Chat Support Representative- Mohali,"Mohali, Punjab",Mohali,Punjab,On-site,Customer Service,"30,000 - 35,000 a month",Monthly,32500.0
"Fresher (ITI , Diploma or Any Degree)","Erode, Tamil Nadu",Erode,Tamil Nadu,On-site,Other,"12,000 - 15,000 a month",Monthly,13500.0
Python Intern Trainee,"Kulasegaram, Tamil Nadu",Kulasegaram,Tamil Nadu,On-site,IT and Technology,"8,500 - 22,000 a month",Monthly,15250.0
Software Engineer Trainee - Freshers,"Tirunelveli, Tamil Nadu",Tirunelveli,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Programmer Trainee,Remote,Remote,Remote,Remote,IT and Technology,"From 2,71,362.01 a year",Annual,19250.0
Quality Analyst,Remote,Remote,Remote,Remote,Other,"2,80,000 - 3,50,000 a year",Annual,315000.0
Data Entry Operator,"Hassan, Karnataka",Hassan,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Mobile App Developer - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Mega Walk-in drive Customer Service Representative- Fresher's,"Noida, Uttar Pradesh",Noida,Uttar Pradesh,On-site,Customer Service,"13,000 - 17,000 a month",Monthly,15000.0
Python Developer Trainee,Kerala,Kerala,Kerala,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Junior Data Scientist,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,"2,50,000 - 5,00,000 a year",Annual,375000.0
Digital Marketing - Freshers,"Banaswadi, Bengaluru, Karnataka",Banaswadi,Karnataka,On-site,Sales and Marketing,Not Disclosed,Not Disclosed,19250.0
Receptionist,"Thrissur, Kerala",Thrissur,Kerala,On-site,Other,Not Disclosed,Not Disclosed,19250.0
Web Developer - Fresher,"Madurai, Tamil Nadu",Madurai,Tamil Nadu,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Document verification (office Fresher Applied Now),"Delhi Cantt, Delhi, Delhi",Delhi Cantt,Delhi,On-site,Other,"10,914.81 - 21,867.53 a month",Monthly,16391.17
Graduate Trainee,Remote,Remote,Remote,Remote,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Internship JOB Opening for freshers,Remote,Remote,Remote,Remote,Other,"8,000 - 15,000 a month",Monthly,11500.0
Consultant Doctor,"Tirupati, Andhra Pradesh",Tirupati,Andhra Pradesh,On-site,Healthcare,"20,000 - 25,000 a month",Monthly,22500.0
Software Trainees,"Bengaluru, Karnataka",Bengaluru,Karnataka,On-site,IT and Technology,Not Disclosed,Not Disclosed,19250.0
Back Office Assistant,"Pimpri-Chinchwad, Maharashtra",Pimpri-Chinchwad,Maharashtra,On-site,Other,"28,000 - 34,000 a month",Monthly,31000.0
Digital Marketing Intern,Remote,Remote,Remote,Remote,Sales and Marketing,"10,000 - 15,000 a month",Monthly,12500.0
